code,name,level,parent,longitude,latitude,catchmentPopulation
Atakunmosa West,Atakunmosa West,Local Government Area,Osun,,,
Boluwaduro,Boluwaduro,Local Government Area,Osun,,,
Boripe,Boripe,Local Government Area,Osun,,,
Ede North,Ede North,Local Government Area,Osun,,,
Ede South,Ede South,Local Government Area,Osun,,,
Egbedore,Egbedore,Local Government Area,Osun,,,
Ejigbo,Ejigbo,Local Government Area,Osun,,,
Ife Central,Ife Central,Local Government Area,Osun,,,
Ife East,Ife East,Local Government Area,Osun,,,
Ife North,Ife North,Local Government Area,Osun,,,
Ife South,Ife South,Local Government Area,Osun,,,
Ifedayo,Ifedayo,Local Government Area,Osun,,,
Ifelodun,Ifelodun,Local Government Area,Kwara,,,
Ila,Ila,Local Government Area,Osun,,,
Ilesa East,Ilesa East,Local Government Area,Osun,,,
Ilesa West,Ilesa West,Local Government Area,Osun,,,
Irepodun,Irepodun,Local Government Area,Kwara,,,
Irewole,Irewole,Local Government Area,Osun,,,
Isokan,Isokan,Local Government Area,Osun,,,
Iwo,Iwo,Local Government Area,Osun,,,
Obokun,Obokun,Local Government Area,Osun,,,
Odo Otin,Odo Otin,Local Government Area,Osun,,,
Ola Oluwa,Ola Oluwa,Local Government Area,Osun,,,
Olorunda,Olorunda,Local Government Area,Osun,,,
Oriade,Oriade,Local Government Area,Osun,,,
Orolu,Orolu,Local Government Area,Osun,,,
Osogbo,Osogbo,Local Government Area,Osun,,,
Akinyele,Akinyele,Local Government Area,Oyo,,,
Afijio,Afijio,Local Government Area,Oyo,,,
Atiba,Atiba,Local Government Area,Oyo,,,
Atisbo,Atisbo,Local Government Area,Oyo,,,
Egbeda,Egbeda,Local Government Area,Oyo,,,
Ibadan North,Ibadan North,Local Government Area,Oyo,,,
Ibadan North-East,Ibadan North-East,Local Government Area,Oyo,,,
Ibadan North-West,Ibadan North-West,Local Government Area,Oyo,,,
Ibadan South-West,Ibadan South-West,Local Government Area,Oyo,,,
Ibadan South-East,Ibadan South-East,Local Government Area,Oyo,,,
Ibarapa Central,Ibarapa Central,Local Government Area,Oyo,,,
Ibarapa East,Ibarapa East,Local Government Area,Oyo,,,
Ibarapa North,Ibarapa North,Local Government Area,Oyo,,,
Ido,Ido,Local Government Area,Oyo,,,
Irepo,Irepo,Local Government Area,Oyo,,,
Iseyin,Iseyin,Local Government Area,Oyo,,,
Itesiwaju,Itesiwaju,Local Government Area,Oyo,,,
Iwajowa,Iwajowa,Local Government Area,Oyo,,,
Kajola,Kajola,Local Government Area,Oyo,,,
Lagelu,Lagelu,Local Government Area,Oyo,,,
Ogbomosho North,Ogbomosho North,Local Government Area,Oyo,,,
Ogbomosho South,Ogbomosho South,Local Government Area,Oyo,,,
Oyo East,Oyo East,Local Government Area,Oyo,,,
Oyo West,Oyo West,Local Government Area,Oyo,,,
Olorunsogo,Olorunsogo,Local Government Area,Oyo,,,
Oluyole,Oluyole,Local Government Area,Oyo,,,
Ogo Oluwa,Ogo Oluwa,Local Government Area,Oyo,,,
Orelope,Orelope,Local Government Area,Oyo,,,
Ori Ire,Ori Ire,Local Government Area,Oyo,,,
Ona Ara,Ona Ara,Local Government Area,Oyo,,,
Saki West,Saki West,Local Government Area,Oyo,,,
Saki East,Saki East,Local Government Area,Oyo,,,
Surulere,Surulere,Local Government Area,Lagos,,,
Barkin Ladi,Barkin Ladi,Local Government Area,Plateau,,,
Bassa,Bassa,Local Government Area,Kogi,,,
Bokkos,Bokkos,Local Government Area,Plateau,,,
Jos East,Jos East,Local Government Area,Plateau,,,
Jos North,Jos North,Local Government Area,Plateau,,,
Jos South,Jos South,Local Government Area,Plateau,,,
Kanam,Kanam,Local Government Area,Plateau,,,
Kanke,Kanke,Local Government Area,Plateau,,,
Langtang North,Langtang North,Local Government Area,Plateau,,,
Langtang South,Langtang South,Local Government Area,Plateau,,,
Mangu,Mangu,Local Government Area,Plateau,,,
Mikang,Mikang,Local Government Area,Plateau,,,
Pankshin,Pankshin,Local Government Area,Plateau,,,
Qua'an Pan,Qua'an Pan,Local Government Area,Plateau,,,
Riyom,Riyom,Local Government Area,Plateau,,,
Shendam,Shendam,Local Government Area,Plateau,,,
Wase,Wase,Local Government Area,Plateau,,,
Port Harcourt,Port Harcourt,Local Government Area,Rivers,,,
Obio-Akpor,Obio-Akpor,Local Government Area,Rivers,,,
Okrika,Okrika,Local Government Area,Rivers,,,
Ogu-Bolo,Ogu-Bolo,Local Government Area,Rivers,,,
Eleme,Eleme,Local Government Area,Rivers,,,
Tai,Tai,Local Government Area,Rivers,,,
Gokana,Gokana,Local Government Area,Rivers,,,
Khana,Khana,Local Government Area,Rivers,,,
Oyigbo,Oyigbo,Local Government Area,Rivers,,,
Opobo-Nkoro,Opobo-Nkoro,Local Government Area,Rivers,,,
Andoni,Andoni,Local Government Area,Rivers,,,
Bonny,Bonny,Local Government Area,Rivers,,,
Degema,Degema,Local Government Area,Rivers,,,
Asari-Toru,Asari-Toru,Local Government Area,Rivers,,,
Akuku-Toru,Akuku-Toru,Local Government Area,Rivers,,,
Abua-Odual,Abua-Odual,Local Government Area,Rivers,,,
Ahoada West,Ahoada West,Local Government Area,Rivers,,,
Ahoada East,Ahoada East,Local Government Area,Rivers,,,
Ogba-Egbema-Ndoni,Ogba-Egbema-Ndoni,Local Government Area,Rivers,,,
Emohua,Emohua,Local Government Area,Rivers,,,
Ikwerre,Ikwerre,Local Government Area,Rivers,,,
Etche,Etche,Local Government Area,Rivers,,,
Omuma,Omuma,Local Government Area,Rivers,,,
Binji,Binji,Local Government Area,Sokoto,,,
Bodinga,Bodinga,Local Government Area,Sokoto,,,
Dange Shuni,Dange Shuni,Local Government Area,Sokoto,,,
Gada,Gada,Local Government Area,Sokoto,,,
Goronyo,Goronyo,Local Government Area,Sokoto,,,
Gudu,Gudu,Local Government Area,Sokoto,,,
Gwadabawa,Gwadabawa,Local Government Area,Sokoto,,,
Illela,Illela,Local Government Area,Sokoto,,,
Isa,Isa,Local Government Area,Sokoto,,,
Kebbe,Kebbe,Local Government Area,Sokoto,,,
Kware,Kware,Local Government Area,Sokoto,,,
Rabah,Rabah,Local Government Area,Sokoto,,,
Sabon Birni,Sabon Birni,Local Government Area,Sokoto,,,
Shagari,Shagari,Local Government Area,Sokoto,,,
Silame,Silame,Local Government Area,Sokoto,,,
Sokoto North,Sokoto North,Local Government Area,Sokoto,,,
Sokoto South,Sokoto South,Local Government Area,Sokoto,,,
Tambuwal,Tambuwal,Local Government Area,Sokoto,,,
Tangaza,Tangaza,Local Government Area,Sokoto,,,
Tureta,Tureta,Local Government Area,Sokoto,,,
Wamako,Wamako,Local Government Area,Sokoto,,,
Wurno,Wurno,Local Government Area,Sokoto,,,
Yabo,Yabo,Local Government Area,Sokoto,,,
Ardo Kola,Ardo Kola,Local Government Area,Taraba,,,
Bali,Bali,Local Government Area,Taraba,,,
Donga,Donga,Local Government Area,Taraba,,,
Gashaka,Gashaka,Local Government Area,Taraba,,,
Gassol,Gassol,Local Government Area,Taraba,,,
Ibi,Ibi,Local Government Area,Taraba,,,
Jalingo,Jalingo,Local Government Area,Taraba,,,
Karim Lamido,Karim Lamido,Local Government Area,Taraba,,,
Kurmi,Kurmi,Local Government Area,Taraba,,,
Lau,Lau,Local Government Area,Taraba,,,
Sardauna,Sardauna,Local Government Area,Taraba,,,
Takum,Takum,Local Government Area,Taraba,,,
Ussa,Ussa,Local Government Area,Taraba,,,
Wukari,Wukari,Local Government Area,Taraba,,,
Yorro,Yorro,Local Government Area,Taraba,,,
Zing,Zing,Local Government Area,Taraba,,,
Bade,Bade,Local Government Area,Yobe,,,
Bursari,Bursari,Local Government Area,Yobe,,,
Damaturu,Damaturu,Local Government Area,Yobe,,,
Geidam,Geidam,Local Government Area,Yobe,,,
Gujba,Gujba,Local Government Area,Yobe,,,
Gulani,Gulani,Local Government Area,Yobe,,,
Fika,Fika,Local Government Area,Yobe,,,
Fune,Fune,Local Government Area,Yobe,,,
Jakusko,Jakusko,Local Government Area,Yobe,,,
Karasuwa,Karasuwa,Local Government Area,Yobe,,,
Machina,Machina,Local Government Area,Yobe,,,
Nangere,Nangere,Local Government Area,Yobe,,,
Nguru,Nguru,Local Government Area,Yobe,,,
Potiskum,Potiskum,Local Government Area,Yobe,,,
Tarmuwa,Tarmuwa,Local Government Area,Yobe,,,
Yunusari,Yunusari,Local Government Area,Yobe,,,
Yusufari,Yusufari,Local Government Area,Yobe,,,
Anka,Anka,Local Government Area,Zamfara,,,
Bakura,Bakura,Local Government Area,Zamfara,,,
Birnin Magaji/Kiyaw,Birnin Magaji/Kiyaw,Local Government Area,Zamfara,,,
Bukkuyum,Bukkuyum,Local Government Area,Zamfara,,,
Bungudu,Bungudu,Local Government Area,Zamfara,,,
Tsafe,Tsafe,Local Government Area,Zamfara,,,
Gummi,Gummi,Local Government Area,Zamfara,,,
Gusau,Gusau,Local Government Area,Zamfara,,,
Kaura Namoda,Kaura Namoda,Local Government Area,Zamfara,,,
Maradun,Maradun,Local Government Area,Zamfara,,,
Maru,Maru,Local Government Area,Zamfara,,,
Shinkafi,Shinkafi,Local Government Area,Zamfara,,,
Talata Mafara,Talata Mafara,Local Government Area,Zamfara,,,
Zurmi,Zurmi,Local Government Area,Zamfara,,,
